,2018-04-01T00:05:00+08:00,2018-04-01T00:10:00+08:00,2018-04-01T00:15:00+08:00,2018-04-01T00:20:00+08:00,2018-04-01T00:35:00+08:00,2018-04-01T00:40:00+08:00,2018-04-01T00:45:00+08:00,2018-04-01T00:50:00+08:00,2018-04-01T09:35:00+08:00,2018-04-01T09:40:00+08:00,2018-04-01T09:45:00+08:00,2018-04-01T09:50:00+08:00,2018-04-01T10:00:00+08:00,2018-04-01T10:05:00+08:00,2018-04-01T10:10:00+08:00,2018-04-01T10:15:00+08:00,2018-04-01T10:20:00+08:00,2018-04-01T10:35:00+08:00,2018-04-01T10:40:00+08:00,2018-04-01T10:45:00+08:00,2018-04-01T10:50:00+08:00,2018-04-01T11:00:00+08:00,2018-04-01T11:05:00+08:00,2018-04-01T11:10:00+08:00,2018-04-01T11:15:00+08:00,2018-04-01T11:20:00+08:00,2018-04-01T11:30:00+08:00,2018-04-01T11:35:00+08:00,2018-04-01T11:40:00+08:00,2018-04-01T11:45:00+08:00,2018-04-01T11:50:00+08:00,2018-04-01T12:05:00+08:00,2018-04-01T12:10:00+08:00,2018-04-01T12:15:00+08:00,2018-04-01T12:20:00+08:00,2018-04-01T12:30:00+08:00,2018-04-01T12:35:00+08:00,2018-04-01T12:40:00+08:00,2018-04-01T13:00:00+08:00,2018-04-01T13:05:00+08:00,2018-04-01T13:10:00+08:00,2018-04-01T13:15:00+08:00,2018-04-01T13:20:00+08:00,2018-04-01T13:35:00+08:00,2018-04-01T13:40:00+08:00,2018-04-01T13:45:00+08:00,2018-04-01T13:50:00+08:00,2018-04-01T14:05:00+08:00,2018-04-01T14:10:00+08:00,2018-04-01T14:15:00+08:00,2018-04-01T14:20:00+08:00,2018-04-01T14:25:00+08:00,2018-04-01T14:35:00+08:00,2018-04-01T14:40:00+08:00,2018-04-01T14:45:00+08:00,2018-04-01T14:50:00+08:00,2018-04-01T15:05:00+08:00,2018-04-01T15:10:00+08:00,2018-04-01T15:15:00+08:00,2018-04-01T15:20:00+08:00,2018-04-01T15:35:00+08:00,2018-04-01T15:40:00+08:00,2018-04-01T15:45:00+08:00,2018-04-01T15:50:00+08:00,2018-04-01T16:00:00+08:00,2018-04-01T16:05:00+08:00,2018-04-01T16:10:00+08:00,2018-04-01T16:15:00+08:00,2018-04-01T16:20:00+08:00,2018-04-01T16:35:00+08:00,2018-04-01T16:40:00+08:00,2018-04-01T16:45:00+08:00,2018-04-01T16:50:00+08:00,2018-04-01T17:05:00+08:00,2018-04-01T17:10:00+08:00,2018-04-01T17:15:00+08:00,2018-04-01T17:20:00+08:00,2018-04-01T17:30:00+08:00,2018-04-01T17:35:00+08:00,2018-04-01T17:40:00+08:00,2018-04-01T17:45:00+08:00,2018-04-01T17:50:00+08:00,2018-04-01T18:05:00+08:00,2018-04-01T18:10:00+08:00,2018-04-01T18:15:00+08:00,2018-04-01T18:20:00+08:00,2018-04-01T18:35:00+08:00,2018-04-01T18:40:00+08:00,2018-04-01T18:45:00+08:00,2018-04-01T18:50:00+08:00,2018-04-01T19:05:00+08:00,2018-04-01T19:10:00+08:00,2018-04-01T19:15:00+08:00,2018-04-01T19:20:00+08:00,2018-04-01T19:30:00+08:00,2018-04-01T19:35:00+08:00,2018-04-01T19:40:00+08:00,2018-04-01T19:45:00+08:00,2018-04-01T19:50:00+08:00,2018-04-01T20:05:00+08:00,2018-04-01T20:10:00+08:00,2018-04-01T20:15:00+08:00,2018-04-01T20:20:00+08:00,2018-04-01T20:30:00+08:00,2018-04-01T20:35:00+08:00,2018-04-01T20:40:00+08:00,2018-04-01T20:45:00+08:00,2018-04-01T20:50:00+08:00,2018-04-01T21:05:00+08:00,2018-04-01T21:10:00+08:00,2018-04-01T21:15:00+08:00,2018-04-01T21:20:00+08:00,2018-04-01T21:35:00+08:00,2018-04-01T21:40:00+08:00,2018-04-01T21:45:00+08:00,2018-04-01T21:50:00+08:00,2018-04-01T22:05:00+08:00,2018-04-01T22:10:00+08:00,2018-04-01T22:15:00+08:00,2018-04-01T22:20:00+08:00,2018-04-01T22:30:00+08:00,2018-04-01T22:35:00+08:00,2018-04-01T22:40:00+08:00,2018-04-01T22:45:00+08:00,2018-04-01T22:50:00+08:00,2018-04-01T23:00:00+08:00,2018-04-01T23:05:00+08:00,2018-04-01T23:10:00+08:00,2018-04-01T23:15:00+08:00,2018-04-01T23:20:00+08:00,2018-04-01T23:35:00+08:00,2018-04-01T23:40:00+08:00,2018-04-01T23:45:00+08:00,2018-04-01T23:50:00+08:00
S101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.4,0.4,0.2,0.4,0.2,1.2,0.4,0.2,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,3.2,1.8,0.6,0,0,0,0,0,1.2,1.2,0.8,0.2,0,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.8,4.8,5,2.4,3.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.6,1.4,1,0.8,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3,2,2.2,2,1.8,1.8,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3.6,0.8,0,1.2,1.2,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,4,0.4,0.2,0.4,0.4,2.6,1.6,1.6,1,0.6,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,1.4,3.6,10,2.4,0.2,0.8,0.8,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,0.2,0.2,2.2,1.2,1.2,0.2,0.2,0,0.2,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0,0,0,0,0,0.2,0,1.4,1.6,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,6.6,3.4,1.2,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,1,0.2,0,0.4,0.6,0.4,0.2,0,0.2,0.2,0.6,0.4,0,0,0,0,0,0,0,0,0,,,,,0.6,0.4,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.6,0.6,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.2,0,0,0,0.2,0.6,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,1,3.4,3.6,2.6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0.6,1,1.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3.6,1,0,0,0,0,0,0,0.6,2.4,0.4,0,0,0,0.4,0.6,0,0,0,0.4,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,2.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.4,2,0.6,0.6,0.6,0.4,0,0.2,1.4,0.8,0.6,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
